iter	Passed	Remaining
445	1180	1465
446	1182	1463
447	1185	1461
448	1189	1459
449	1190	1455
450	1192	1451
451	1194	1448
452	1195	1444
453	1197	1440
454	1201	1439
455	1203	1436
456	1205	1432
457	1207	1428
458	1208	1424
459	1210	1420
460	1211	1416
461	1213	1413
462	1216	1411
463	1218	1407
464	1220	1404
465	1222	1400
466	1223	1396
467	1225	1392
468	1227	1389
469	1230	1388
470	1233	1385
471	1235	1381
472	1236	1377
473	1237	1373
474	1239	1369
475	1241	1366
476	1244	1364
477	1245	1360
478	1247	1356
479	1249	1353
480	1250	1349
481	1251	1345
482	1253	1341
483	1256	1339
484	1258	1336
485	1260	1332
486	1261	1328
487	1262	1324
488	1264	1321
489	1265	1317
490	1266	1313
491	1269	1311
492	1273	1309
493	1275	1306
494	1277	1302
495	1278	1299
496	1280	1296
497	1284	1294
498	1286	1292
499	1288	1288
500	1289	1284
501	1291	1280
502	1292	1277
503	1293	1273
504	1295	1269
505	1298	1267
506	1300	1264
507	1301	1260
508	1303	1257
509	1305	1253
510	1306	1250
511	1307	1246
512	1311	1244
513	1313	1241
514	1314	1238
515	1316	1234
516	1317	1231
517	1319	1227
518	1320	1223
519	1321	1220
520	1325	1218
521	1327	1215
522	1328	1211
523	1330	1208
524	1331	1204
525	1333	1201
526	1334	1197
527	1336	1194
528	1338	1191
529	1341	1189
530	1342	1186
531	1344	1182
532	1345	1178
533	1347	1175
534	1348	1171
535	1349	1168
536	1352	1166
537	1354	1163
538	1356	1159
539	1357	1156
540	1359	1153
541	1360	1149
542	1362	1146
543	1363	1143
544	1365	1140
545	1368	1137
546	1370	1134
547	1371	1131
548	1373	1127
549	1374	1124
550	1376	1121
551	1378	1118
552	1380	1116
553	1383	1113
554	1384	1110
555	1386	1107
556	1388	1104
557	1389	1101
558	1392	1098
559	1395	1096
560	1396	1093
561	1398	1089
562	1399	1086
563	1401	1083
564	1402	1079
565	1404	1076
566	1406	1074
567	1408	1071
568	1410	1068
569	1411	1065
570	1413	1061
571	1414	1058
572	1416	1055
573	1417	1052
574	1419	1048
575	1421	1046
576	1423	1043
577	1425	1040
578	1426	1037
579	1428	1034
580	1429	1031
581	1431	1027
582	1432	1024
583	1434	1022
584	1437	1019
585	1438	1016
586	1440	1013
587	1441	1010
588	1443	1007
589	1445	1004
590	1448	1002
591	1451	1000
592	1452	997
593	1454	994
594	1456	991
595	1458	988
596	1459	985
597	1463	983
598	1465	980
599	1466	977
600	1468	974
601	1469	971
602	1471	968
603	1472	965
604	1474	962
605	1477	960
606	1479	957
607	1481	955
608	1483	952
609	1484	949
610	1485	946
611	1489	944
612	1491	941
613	1493	938
614	1494	935
615	1496	932
616	1497	929
617	1499	926
618	1501	924
619	1504	922
620	1506	919
621	1508	916
622	1509	913
623	1510	910
624	1512	907
625	1513	904
626	1516	902
627	1519	899
628	1520	896
629	1522	893
630	1523	890
631	1524	887
632	1525	884
633	1527	881
634	1529	879
635	1534	878
636	1535	875
637	1537	872
638	1538	869
639	1539	865
640	1540	863
641	1542	860
642	1545	857
643	1547	855
644	1548	852
645	1550	849
646	1551	846
647	1553	843
648	1554	840
649	1555	837
650	1558	835
651	1561	833
652	1562	830
653	1564	827
654	1566	824
655	1567	822
656	1569	819
657	1572	817
658	1574	814
659	1576	812
660	1577	809
661	1579	806
662	1580	803
663	1581	800
664	1583	797
665	1585	795
666	1588	792
667	1589	790
668	1590	787
669	1592	784
670	1593	781
671	1595	778
672	1596	775
673	1598	773
674	1601	771
675	1603	768
676	1605	765
677	1606	763
678	1607	760
679	1609	757
680	1610	754
681	1613	752
682	1615	749
683	1616	746
684	1618	744
685	1619	741
686	1621	738
687	1622	735
688	1624	733
689	1626	730
690	1629	728
691	1630	725
692	1632	722
693	1633	720
694	1634	717
695	1636	714
696	1637	711
697	1639	709
698	1643	707
699	1645	705
700	1646	702
701	1648	699
702	1650	697
703	1652	694
704	1655	692
705	1657	690
706	1658	687
707	1660	684
708	1661	681
709	1662	679
710	1664	676
711	1665	673
712	1668	671
713	1670	669
714	1672	666
715	1673	663
716	1674	661
717	1676	658
718	1677	655
719	1679	653
720	1681	650
721	1684	648
722	1685	645
723	1687	643
724	1688	640
725	1689	637
726	1691	635
727	1692	632
728	1695	630
729	1697	627
730	1699	625
731	1700	622
732	1701	619
733	1703	617
734	1704	614
735	1705	611
736	1708	609
737	1710	607
738	1712	604
739	1713	602
740	1715	599
741	1716	596
742	1717	594
743	1719	591
744	1720	589
745	1723	586
746	1725	584
747	1727	581
748	1728	579
749	1730	576
750	1731	574
751	1732	571
752	1734	569
753	1737	566
754	1739	564
755	1741	562
756	1743	559
757	1744	557
758	1746	554
759	1752	553
760	1754	550
761	1755	548
762	1757	545
763	1758	543
764	1759	540
765	1761	537
766	1763	535
767	1766	533
768	1768	531
769	1769	528
770	1771	526
771	1772	523
772	1773	520
773	1775	518
774	1777	516
775	1780	513
776	1781	511
777	1783	508
778	1784	506
779	1785	503
780	1787	501
781	1788	498
782	1791	496
783	1794	494
784	1796	492
785	1798	489
786	1800	487
787	1801	484
788	1803	482
789	1805	480
790	1808	477
791	1809	475
792	1811	472
793	1812	470
794	1813	467
795	1816	465
796	1818	463
797	1822	461
798	1824	458
799	1826	456
800	1827	454
801	1829	451
802	1831	449
803	1834	447
804	1835	444
805	1837	442
806	1838	439
807	1839	437
808	1841	434
809	1842	432
810	1844	429
811	1846	427
812	1849	425
813	1850	422
814	1852	420
815	1853	418
816	1855	415
817	1856	413
818	1858	410
819	1860	408
820	1862	406
821	1864	403
822	1866	401
823	1867	398
824	1868	396
825	1870	393
826	1871	391
827	1873	389
828	1876	386
829	1878	384
830	1879	382
831	1881	379
832	1882	377
833	1883	374
834	1885	372
835	1886	370
836	1889	367
837	1891	365
838	1892	363
839	1894	360
840	1895	358
841	1897	355
842	1898	353
843	1899	351
844	1902	348
845	1904	346
846	1906	344
847	1908	342
848	1909	339
849	1911	337
850	1913	334
851	1914	332
852	1917	330
853	1919	328
854	1921	325
855	1922	323
856	1924	321
857	1925	318
858	1927	316
859	1930	314
860	1931	311
861	1933	309
862	1934	307
863	1936	304
864	1937	302
865	1939	300
866	1940	297
867	1942	295
868	1944	293
869	1946	290
870	1948	288
871	1949	286
872	1951	283
873	1952	281
874	1953	279
875	1955	276
876	1958	274
877	1960	272
878	1961	270
879	1963	267
880	1964	265
881	1966	263
882	1968	260
883	1970	258
884	1975	256
885	1976	254
886	1978	252
887	1980	249
888	1981	247
889	1984	245
890	1987	243
891	1988	240
892	1990	238
893	1991	236
894	1993	233
895	1994	231
896	1995	229
897	1998	226
898	2001	224
899	2003	222
900	2005	220
901	2006	218
902	2008	215
903	2009	213
904	2013	211
905	2015	209
906	2016	206
907	2018	204
908	2019	202
909	2020	199
910	2022	197
911	2023	195
912	2026	193
913	2028	190
914	2029	188
915	2031	186
916	2032	183
917	2033	181
918	2035	179
919	2036	177
920	2038	174
921	2041	172
922	2042	170
923	2044	168
924	2045	165
925	2046	163
926	2048	161
927	2049	159
928	2051	156
929	2054	154
930	2055	152
931	2057	150
932	2058	147
933	2060	145
934	2061	143
935	2063	141
936	2065	138
937	2068	136
938	2070	134
939	2071	132
940	2073	129
941	2074	127
942	2076	125
943	2077	123
944	2080	121
945	2083	118
946	2085	116
947	2087	114
948	2088	112
949	2090	110
950	2092	107
951	2095	105
952	2097	103
953	2099	101
954	2100	98
955	2102	96
956	2103	94
957	2104	92
958	2106	90
959	2108	87
960	2110	85
961	2112	83
962	2113	81
963	2115	78
964	2116	76
965	2118	74
966	2123	72
967	2125	70
968	2127	68
969	2129	65
970	2130	63
971	2132	61
972	2134	59
973	2136	57
974	2138	54
975	2140	52
976	2141	50
977	2143	48
978	2144	46
979	2146	43
980	2148	41
981	2151	39
982	2152	37
983	2154	35
984	2155	32
985	2157	30
986	2158	28
987	2160	26
988	2162	24
989	2165	21
990	2166	19
991	2168	17
992	2169	15
993	2171	13
994	2172	10
995	2173	8
996	2176	6
997	2178	4
998	2180	2
999	2182	0
